Datum,Jahr,Monat,Tag_des_Monats,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Temperatur_Code,Wettercode_Ueberkat,Windgeschwindigkeit_kodiert
2015-03-31,2015,3,31,7,6.375,35,61,2,1,3
2015-03-31,2015,3,31,7,6.375,35,61,2,1,3
2015-03-31,2015,3,31,7,6.375,35,61,2,1,3
2015-03-31,2015,3,31,7,6.375,35,61,2,1,3
2015-03-31,2015,3,31,7,6.375,35,61,2,1,3
2018-03-17,2018,3,17,5,-2.225,29,73,1,5,3
2018-03-17,2018,3,17,5,-2.225,29,73,1,5,3
2018-03-17,2018,3,17,5,-2.225,29,73,1,5,3
2018-03-17,2018,3,17,5,-2.225,29,73,1,5,3
2018-03-17,2018,3,17,5,-2.225,29,73,1,5,3
2013-10-28,2013,10,28,7,14.3625,29,63,2,1,3
2015-03-30,2015,3,30,6,6.5,29,61,2,1,3
2013-10-28,2013,10,28,7,14.3625,29,63,2,1,3
2015-03-30,2015,3,30,6,6.5,29,61,2,1,3
2013-10-28,2013,10,28,7,14.3625,29,63,2,1,3
2015-03-30,2015,3,30,6,6.5,29,61,2,1,3
2013-10-28,2013,10,28,7,14.3625,29,63,2,1,3
2015-03-30,2015,3,30,6,6.5,29,61,2,1,3
2013-10-28,2013,10,28,7,14.3625,29,63,2,1,3
2015-03-30,2015,3,30,6,6.5,29,61,2,1,3
2018-03-16,2018,3,16,7,0.2,28,22,2,5,3
2018-03-16,2018,3,16,7,0.2,28,22,2,5,3
2018-03-16,2018,3,16,7,0.2,28,22,2,5,3
2018-03-16,2018,3,16,7,0.2,28,22,2,5,3
2018-03-16,2018,3,16,7,0.2,28,22,2,5,3
2015-01-10,2015,1,10,6,10,28,61,2,1,3
2015-01-10,2015,1,10,6,10,28,61,2,1,3
2015-01-10,2015,1,10,6,10,28,61,2,1,3
2015-01-10,2015,1,10,6,10,28,61,2,1,3
2015-01-10,2015,1,10,6,10,28,61,2,1,3
